Leg1,Leg2,Leg3,Leg4,Type,Latest,Change,Open,High,Low,Previous,Volume,Time
CLU6,CLK9,,,SP,14.27,1.3,0,14.27,14.27,12.97,N/A,2026-04-22
CLU6,CLM9,,,SP,14.44,1.31,0,14.44,14.44,13.13,N/A,2026-04-22
CLU6,CLN9,,,SP,14.65,1.32,0,14.65,14.65,13.33,N/A,2026-04-22
CLU6,CLQ9,,,SP,14.83,1.33,0,14.83,14.83,13.5,N/A,2026-04-22
CLU6,CLU9,,,SP,15.01,1.33,0,15.01,15.01,13.68,N/A,2026-04-22
CLU6,CLV9,,,SP,15.19,1.34,0,15.19,15.19,13.85,N/A,2026-04-22
CLU6,CLX9,,,SP,15.37,1.35,0,15.37,15.37,14.02,N/A,2026-04-22
CLU6,CYU6,,,AE,-0.0025,0,-0.0025,0,-0.0025,0,2,2026-04-22
CLU6,IH1U6,,,BC,83.71,1.63,0,83.71,83.71,82.08,N/A,2026-04-22
CLU6,IWUU6,,,BC,83.04,1.61,0,83.04,83.04,81.43,N/A,2026-04-22
CLU6,QAU6,,,IS,-7.65,-0.35,-7.32,-7.27,-7.77,-7.3,213,"07:52 CT"
CLU6,QAU6,CLV6,QAV6,IP,-0.15,-0.1,-0.09,-0.09,-0.18,-0.05,2325,"08:21 CT"
CLU6,QAU6,CLX6,QAX6,IP,-0.38,-0.14,-0.3,-0.29,-0.44,-0.24,26,"08:12 CT"
CLU6,QAU6,CLZ6,QAZ6,IP,-0.66,-0.19,-0.53,-0.53,-0.72,-0.47,871,"08:23 CT"
CLU6,QAU6,CLF7,QAF7,IP,-0.74,-0.27,0,-0.74,-0.74,-0.47,N/A,2026-04-22
CLU6,QAU6,CLG7,QAG7,IP,-1.02,-0.32,0,-1.02,-1.02,-0.7,N/A,2026-04-22
CLU6,QAU6,CLH7,QAH7,IP,-1.27,-0.36,0,-1.27,-1.27,-0.91,N/A,2026-04-22
CLU6,QAU6,CLJ7,QAJ7,IP,-1.53,-0.41,0,-1.53,-1.53,-1.12,N/A,2026-04-22
